"sampling_agency","run_year","recovery_date","fishery","recovery_location_code","length","sampling_site","recovery_location_name","tag_code","estimated_number","hatchery_location_name","brood_year"
"CDFW",2013,20130529,10,"6MO      PRPP",692,"PRSF","PT.REYES-PIGEON PT.","68767",3.46,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130529,10,"6MO      PRPP",652,"PRSF","PT.REYES-PIGEON PT.","68767",3.46,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130529,10,"6MO      PRPP",680,"PRSF","PT.REYES-PIGEON PT.","68767",3.46,"NIMBUS FISH HATCHERY",2010
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",861,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",781,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121114,50,"6FCSAAMN NBFH",789,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121114,50,"6FCSAAMN NBFH",809,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121114,50,"6FCSAAMN NBFH",888,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2013,20130529,10,"6MO      PRPP",736,"PRSF","PT.REYES-PIGEON PT.","68767",3.46,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130529,10,"6MO      PRPP",694,"PRSF","PT.REYES-PIGEON PT.","68767",3.46,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130529,10,"6MO      PRPP",653,"PRSF","PT.REYES-PIGEON PT.","68767",3.46,"NIMBUS FISH HATCHERY",2010
"CDFW",2012,20121119,50,"6FCSAAMN NBFH",810,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121120,50,"6FCSAAMN NBFH",794,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121120,50,"6FCSAAMN NBFH",833,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2013,20130530,10,"6MO      PRPP",682,"SFSF","PT.REYES-PIGEON PT.","68767",3.46,"NIMBUS FISH HATCHERY",2010
"CDFW",2012,20121120,50,"6FCSAAMN NBFH",850,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121120,50,"6FCSAAMN NBFH",790,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2013,20130530,10,"6MO      PRPP",656,"SFSF","PT.REYES-PIGEON PT.","68767",3.46,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130530,10,"6MO      PRPP",726,"SFSF","PT.REYES-PIGEON PT.","68767",3.46,"NIMBUS FISH HATCHERY",2010
"CDFW",2012,20121120,50,"6FCSAAMN NBFH",865,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121108,50,"6FCSAAMN NBFH",856,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",753,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121108,50,"6FCSAAMN NBFH",768,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2013,20130530,10,"6MO      PRPP",735,"SFSF","PT.REYES-PIGEON PT.","68767",3.46,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130530,10,"6MO      PRPP",729,"SFSF","PT.REYES-PIGEON PT.","68767",3.46,"NIMBUS FISH HATCHERY",2010
"CDFW",2012,20121108,50,"6FCSAAMN NBFH",788,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",750,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121108,50,"6FCSAAMN NBFH",743,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2013,20130530,10,"6MO      PRPP",755,"SFSF","PT.REYES-PIGEON PT.","68767",3.46,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130530,10,"6MO      PRPP",655,"SFSF","PT.REYES-PIGEON PT.","68767",3.46,"NIMBUS FISH HATCHERY",2010
"CDFW",2012,20121108,50,"6FCSAAMN NBFH",793,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",783,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121108,50,"6FCSAAMN NBFH",890,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2013,20130530,10,"6MO      PRPP",650,"SFSF","PT.REYES-PIGEON PT.","68767",3.46,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130530,10,"6MO      PRPP",830,"SFSF","PT.REYES-PIGEON PT.","68767",3.46,"NIMBUS FISH HATCHERY",2010
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",830,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20120719,10,"6MO      SFPA",727,"FBFB","SPAN.FLAT-PT.ARENA","68680",3.32,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121115,50,"6FCSAAMN NBFH",846,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121115,50,"6FCSAAMN NBFH",784,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121115,50,"6FCSAAMN NBFH",909,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121115,50,"6FCSAAMN NBFH",839,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2013,20130530,10,"6MO      PRPP",730,"SFSF","PT.REYES-PIGEON PT.","68767",3.46,"NIMBUS FISH HATCHERY",2010
"CDFW",2012,20121115,50,"6FCSAAMN NBFH",778,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121115,50,"6FCSAAMN NBFH",777,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20120719,10,"6MO      SFPA",736,"FBFB","SPAN.FLAT-PT.ARENA","68680",3.32,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121115,50,"6FCSAAMN NBFH",886,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121115,50,"6FCSAAMN NBFH",930,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121115,50,"6FCSAAMN NBFH",680,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121115,50,"6FCSAAMN NBFH",863,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121115,50,"6FCSAAMN NBFH",776,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121115,50,"6FCSAAMN NBFH",816,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121120,50,"6FCSAAMN NBFH",845,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2013,20130530,10,"6MO      PRPP",632,"PRSF","PT.REYES-PIGEON PT.","68767",3.46,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130531,10,"6MO      PRPP",675,"SFSF","PT.REYES-PIGEON PT.","68767",3.46,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130605,10,"6MO      PRPP",698,"SFSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130605,10,"6MO      PRPP",668,"SFSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130605,10,"6MO      PRPP",709,"PRSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130605,10,"6MO      PRPP",713,"PRSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2012,20121119,50,"6FCSAAMN NBFH",871,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121119,50,"6FCSAAMN NBFH",813,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121119,50,"6FCSAAMN NBFH",877,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121119,50,"6FCSAAMN NBFH",803,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2013,20130605,10,"6MO      PRPP",704,"PRSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130605,10,"6MO      PRPP",857,"PRSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130605,10,"6MO      PRPP",719,"PRSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130605,10,"6MO      PRPP",653,"PRSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130605,10,"6MO      PRPP",798,"PRSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2012,20121108,50,"6FCSAAMN NBFH",875,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",895,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",761,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",748,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",815,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",915,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",793,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",852,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2013,20130605,10,"6MO      PRPP",707,"PRSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130606,10,"6MO      PRPP",700,"BOSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",860,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",829,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2013,20130606,10,"6MO      PRPP",790,"BOSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",814,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",786,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2013,20130606,10,"6MO      PRPP",735,"BOSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",857,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2013,20130606,10,"6MO      PRPP",635,"BOSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130606,10,"6MO      PRPP",695,"BOSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",811,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121113,50,"6FCSAAMN NBFH",812,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121113,50,"6FCSAAMN NBFH",849,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121113,50,"6FCSAAMN NBFH",857,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2013,20130606,10,"6MO      PRPP",710,"BOSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",820,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2013,20130606,10,"6MO      PRPP",730,"SFSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",835,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2013,20130606,10,"6MO      PRPP",665,"SFSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",755,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",950,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2013,20130606,10,"6MO      PRPP",665,"SFSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",742,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",912,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2013,20130606,10,"6MO      PRPP",720,"PRSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",847,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20120719,10,"6MO      PAPR",775,"FBFB","PT.ARENA-PT.REYES","68680",3.32,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",677,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",800,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",770,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121108,50,"6FCSAAMN NBFH",830,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121108,50,"6FCSAAMN NBFH",867,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121108,50,"6FCSAAMN NBFH",906,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121108,50,"6FCSAAMN NBFH",862,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121108,50,"6FCSAAMN NBFH",811,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121108,50,"6FCSAAMN NBFH",848,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2013,20130606,10,"6MO      PRPP",638,"PRSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130606,40,"6MO      FRPP",745,"PRSF","FORT ROSS-PIGEON PT","68767",2.91,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130606,40,"6MO      FRPP",705,"PRSF","FORT ROSS-PIGEON PT","68767",2.91,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130607,10,"6MO      PRPP",695,"BOSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130607,10,"6MO      PRPP",703,"BOSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130908,46,"6FCSAAMN",780,"AMN","AMERICAN RIVER","68767",29.49,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130607,10,"6MO      PRPP",678,"SFSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2013,20130607,10,"6MO      PRPP",709,"SFSF","PT.REYES-PIGEON PT.","68767",2.12,"NIMBUS FISH HATCHERY",2010
"CDFW",2012,20121108,50,"6FCSAAMN NBFH",849,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121108,50,"6FCSAAMN NBFH",849,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121108,50,"6FCSAAMN NBFH",763,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121108,50,"6FCSAAMN NBFH",735,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",770,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",760,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",802,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
"CDFW",2012,20121106,50,"6FCSAAMN NBFH",833,"NBFH","NIMBUS FISH HATCHERY","68677",1.01,"NIMBUS FISH HATCHERY",2009
